institution,city,state,region,control,level,predominant_degree,admission_rate,sat_average,undergrad_enrollment,pct_pell_grant,pct_first_generation,median_family_income,cost_of_attendance,tuition_in_state,tuition_out_state,completion_rate,median_debt_at_graduation,median_earnings_6yr,median_earnings_10yr,earnings_p25_10yr,earnings_p75_10yr,pct_earning_over_25k_10yr,debt_to_earnings,latitude,longitude
Washington Saratoga Warren Hamilton Essex BOCES-Practical Nursing Program,Hudson Falls,NY,Mid East,Public,Less than 2-year,Certificate,0.8776,,35,0.7632,,28265,,,,0.7857,,44415,48129,28482,65821,0.648,,43.32149,-73.594331
Washington State College of Ohio,Marietta,OH,Great Lakes,Public,4-year,Associate,,,1484,0.2981,0.4715,27858,12847,4128,4152,0.3238,11000,34205,37988,20293,55956,0.516,0.29,39.430824,-81.43392
Washington State University,Pullman,WA,Far West,Public,4-year,Bachelor's,0.8664,,21099,0.2738,0.3409,44850,27648,13391,29950,0.605,19500,53510,68905,43186,97582,0.813,0.283,46.730448,-117.158168
Washington State University - Everett Campus,Everett,WA,Far West,Public,4-year,Not classified,,,,,0.3409,44850,,,,,19500,53510,68905,43186,97582,0.813,0.283,,
Washington State University - Global Campus,Pullman,WA,Far West,Public,4-year,Not classified,,,,,0.3409,44850,,11678,13021,,19500,53510,68905,43186,97582,0.813,0.283,,
Washington State University-Spokane,Spokane,WA,Far West,Public,4-year,Not classified,,,,,0.3409,44850,,,,,19500,53510,68905,43186,97582,0.813,0.283,,
Washington State University-Tri Cities,Richland,WA,Far West,Public,4-year,Not classified,,,,,0.3409,44850,,12261,28820,,19500,53510,68905,43186,97582,0.813,0.283,,
Washington State University-Vancouver,Vancouver,WA,Far West,Public,4-year,Not classified,,,,,0.3409,44850,,11937,28496,,19500,53510,68905,43186,97582,0.813,0.283,,
Washington University in St Louis,St. Louis,MO,Plains,Private nonprofit,4-year,Bachelor's,0.1206,1530,7857,0.1775,0.1141,88696,88488,65790,65790,0.9426,17500,78073,86182,60733,137446,0.896,0.203,38.647929,-90.310604
Washington and Lee University,Lexington,VA,Southeast,Private nonprofit,4-year,Bachelor's,0.1397,1498,1881,0.1133,,115740,87000,68045,68045,0.9388,19500,76516,94810,64147,141033,0.873,0.206,37.788939,-79.443018
Washtenaw Community College,Ann Arbor,MI,Great Lakes,Public,2-year,Certificate,,,7816,0.2803,0.3917,21966,11826,2736,6504,0.3294,13310,33799,39449,18980,62107,0.555,0.337,42.26361,-83.66559
Waubonsee Community College,Sugar Grove,IL,Great Lakes,Public,2-year,Associate,,,5721,0.2137,0.4935,30454,19336,3504,10477,0.3891,7000,39016,44788,25469,67992,0.62,0.156,41.795955,-88.459925
Waukesha County Technical College,Pewaukee,WI,Great Lakes,Public,2-year,Certificate,,,4955,0.1015,0.4342,27380,15531,4872,7115,0.4437,12000,41251,46894,28690,65945,0.695,0.256,43.071444,-88.256292
Wayland Baptist University,Plainview,TX,Southwest,Private nonprofit,4-year,Bachelor's,0.5596,,2041,0.457,0.4546,32295,36323,23782,23782,0.1929,23106,44159,51838,33771,77809,0.759,0.446,34.187677,-101.730042
Wayne Community College,Goldsboro,NC,Southeast,Public,2-year,Certificate,,,2739,0.3722,0.4739,21064,11096,2566,8710,0.4931,6500,31900,34148,18213,49961,0.524,0.19,35.403079,-77.945873
Wayne County Community College District,Detroit,MI,Great Lakes,Public,2-year,Associate,,,7423,0.3156,0.5362,10130,15401,3112,4067,0.2211,12062,21336,29079,11953,48505,0.479,0.415,42.327299,-83.054497
Wayne County Schools Career Center,Smithville,OH,Great Lakes,Public,Less than 2-year,Certificate,,,146,0.3762,0.6266,22445,,,,0.7021,7574,39934,42774,27216,57179,0.511,0.177,40.863781,-81.868927
Wayne State College,Wayne,NE,Plains,Public,4-year,Bachelor's,,,3010,0.258,0.3419,56926,22565,8216,8216,0.5215,19000,40857,47075,33248,63570,0.717,0.404,42.241556,-97.015122
